ID;Name;Gender;Relations;Years of life;City;Location as mentioned on print products;Years of activity;Kind of print and sales activities;KVCS-ID
KVCS:251;Walpot, Hendrik III;m;opvolger van 251;;Dordrecht; in de Voorstraat, over ’t Stadhuis, in de Groote Bybel;c.1809 - na 1812;boek- en prentdrukker en verkoper;121d
KVCS:252;Wansleven, Carel Anton en Herman Gerhard;m, m;opvolger van 213;;Zurphen;;1857 - ?;boek- en prentdrukker en verkoper;122b
KVCS:213;Wansleven, Willem Carel;m;;1779-1860;Zutphen;Sprongstraat, later Beukerstraat;1806 - 1857;boekhandelaar, uitgever, boek- en prentdrukker, houder leesbibliotheek, veilinghouder;122a
KVCS:214;Weege (Wege), David;m;;;Amsterdam;op de Nieuwendyk;1748 - 1787;boek- en prentdrukker en verkoper;123
KVCS:216;Wellens, Delhuvenne en Comp;;samenwerking van 48, 215 en  de zonen van 215, firma werd gesplitst in 1842 tussen 48 en 215;;Turnhout;;1734 - 1842;papierverkopen, drukker-uitgever ;125
KVCS:215;Wellens, Petrus Frans;m;opvolger van 216;;Turnhout;;1842 - 1849;houtsnijder, fabrikant sierpapier, drukker en uitgever van speelkaarten, prenten en boeken;124
KVCS:217;Wendel & zoon;m, m;opvolger van 253;;Amsterdam;Angeliers-gragt by de 2de Dwarsstraat (Nopvolger van 148);1819 - 1843;lied-  en prentdrukker en verkoper;126b
KVCS:218;Wendel,  Weduwe  J H ;v;opvolger van 217;;Amsterdam;Angeliers-gragt by de 2de Dwarsstraat (Nopvolger van 148);1843 - 1846;lied-  en prentdrukker en verkoper;126c
KVCS:253;Wendel, Jacob  ;m;;;Amsterdam;tweede Angeliers Dwarsstraat by de Angeliersgragt;1795- - 1819;lied-, prent en tabaksplaatdrukker en verkoper;126a
KVCS:219;Wigeri, Wigerus;m;;1747-1794;Leeuwarden;op de Kelders, vanaf 1752 in de Peperstraat ‘in de Rotterdamse Erasmus';1752 - 1783;boek- en prentdrukker en verkoper;127
KVCS:220;Wijnhoven-Hendriksen, Theodorus Johannes ;m;vanaf 1828 ook opvolger van 93;1791-1850;Rotterdam;Hoogstraat h 28;1819 - 1849;boek- en prentdrukker, steendrukker ;128
KVCS:256;Wijsmuller (Wysmuller, Weismulder, Weismuller), Johannes Jacobus;m;;1807-1882);Amsterdam;op het Spuij ;1777 - ;handelaar in papierwaren, boekbindersartikelen en kantoorbehoeften;129a
KVCS:221;Wijsmuller, Erve;m;opvolger van 257;;Amsterdam;;1828 - 1903;handelaar in papierwaren, prenten en kantoorbehoeften;129c
KVCS:257;Wijsmuller, Johannes Paulus;m;opvolger van 256;1776-1850;Amsterdam;in de Huidenstraat;1803 - 1826?;handelaar in papierwaren, boekbindersartikelen en kantoorbehoeften;129b
KVCS:222;Ykema, Joh ;m;;;'s Gravenhage;;1876 - 1893;boek- en prent- en tijdschriftuitgever;130
KVCS:223;Zalsman, G  Ph ;m;;;Kampen;;1857 - na 1900;boek- en prentdrukker en verkoper;131
