ID;Name;Gender;Relations;Years of life;City;Location as mentioned on print products;Years of activity;Kind of print and sales activities;KVCS-ID
KVCS:97;Hollingerus-Pijpers, F B  ;m;opvolger van7;;Breda;;1811 - 1825;boek-, prent- en krantuitgever en -verkoper;45
KVCS:99;Hombrecht, Martinus;m;;1776-1820;Gent;aen de gewezene BlouweSchole, by de Beeste-merkt;c.1810 - 1820;prentdrukker en -verkoper;46
KVCS:101;Hoogh, de & Comp (= zoon Christiaan?);m, m;opvolger van100;;Amsterdam;;1870 - 1885;uitgever van boeken, prenten en periodieken;47a
KVCS:100;Hoogh, H  de;m;;;Amsterdam;Kerkstraat, later Huidenstraat en vanaf 1866 Nieuwendijk te Amsterdam;1853 - 1869;uitgever van boeken, prenten en periodieken;47
KVCS:237;Hoveman, Wed;v;opvolger van 174;;Amsterdam?;;1845? - ?;prentverkoper;93d
KVCS:104;Hurez,  Weduwe  A F ;v;opvolger van103;;Kamerijk;;1832 - 1842;boek- en prentverkoper;48b
KVCS:103;Hurez, A F;m;opvolger van102;;Kamerijk;;1817 - 1832;drukker, uitgever en boekhandelaar;48a
KVCS:102;Hurez, F J F ;m;;;Kamerijk;;1803 - 1817;drukker, uitgever en boekhandelaar;48
KVCS:105;Irhoven, Hendrik van;m;;;'s Hertogenbosch;op de Hooge Steenweg in ’t Haasewintje;1740 - 1749;boek- en prentdrukker en -verkoper;49
KVCS:85;Jolle, David le;m;opvolger van 17;;Amsterdam;;1667 - 1794;boek- en prentdrukker en verkoper;37
KVCS:106;Jolle, David le;m;;;Amsterdam;;1814 - 1819;boek- en prentdrukker en -verkoper;87g
KVCS:107;Kanjewiele, Abraham;m;;?-1720;Leiden; over de Have in de Goude Star tot Leyden’;1690 - 1718;prentdrukker, papier- en prentverkoper;50
KVCS:108;Kannewet, Johannes;m;;;Amsterdam;in de Nes, in de Gekroonde Jugte Bybel’;1723 - 1780;boek- en prentdrukker en -verkoper;51
KVCS:109;Kat, W  J  ;m;;;Haarlem;;1862 - 1882;smoutdrukker, boekbinder, drukker en uitgever van boeken, prenten en periodieken;52
KVCS:111;Kemink & zoon  (I Harmannus Hendrikus);m, m;opvolger van110;;Utrecht;;1777 - 1798;boekdrukker;53a
KVCS:112;Kemink & zoon (II Nicolaas Dirk);m, m;opvolger van111;;Utrecht;;1857 - 1906;boek- en prentuitgever;54
KVCS:110;Kemink, Dirk;m;;1718-1798;Utrecht;‘agter het Stadhuis’, later Schoutesteeg;1740 - 1777;boek- en prentdrukker en -verkoper, papierhandelaar;53
KVCS:113;Kessel, Wilhelmus  van;m;;;Haarlem;te Haerlem, op de hoeck van de Zijlstraet bij ’t Stadthuijs;1693 - 1728;stadsdrukker, boek- en prentuitgever;55
KVCS:114;Klinkert, R  L ;m;opvolger van122;;Amsterdam;Nieuwendijk Nopvolger van 253;1850 - 1859?;prentuitgever ;58b
KVCS:115;Koene 1, Barent;m;;;Amsterdam;in de Goudsbloemstraat en aan de Lindegracht;1763 - 1779;boek- en prentdrukker en -verkoper;56
KVCS:117;Koene 2, Barend;m;opvolger van115;;Amsterdam;in de Boomstraat;1810 - 1830;boek- en prentdrukker en -verkoper;56b
KVCS:116;Koene 3, Steven & Willem;m, m;opvolger van117;;Amsterdam;aan de Lindegracht en in de Boomstraat;1783 - 1810;boek- en prentdrukker en -verkoper;56a
KVCS:118;Kok-van Kolm,  Weduwe C ;v;;;Amsterdam;;c.1845 - c.1863;boekdrukker, boekverkoper, prentdrukker, prentverkoper;126b
KVCS:119;Kolff, Gualtherus;m;;1826-1881;Leiden/Batavia;;1873 - 1881;boek-, krant- en prentuitgever;57
KVCS:120;Koninklijke Nederlandsche Stoomdrukkerij;;opvolger van101;;Amsterdam;;1885 - na 1900;drukker;47b
KVCS:238;Korsten, Franciscus en Henricus;m, m;;;Venlo;;1734 - 1773;drukkerij, uitgeverij en lettergieterij;5a
KVCS:121;Koster 1, Cornelis Johannes;m;;;Amsterdam;Haringpakkerij bij de Nieuwendijk Nopvolger van 253;1825 - 1847;prentuitgever en -wederverkoper;58
KVCS:122;Koster 2,  Weduwe C J ;v;opvolger van121;;Amsterdam;Haringpakkerij bij de Nieuwendijk Nopvolger van 253;1847 - 1850;prentuitgever en -wederverkoper;58a
KVCS:247;Koster, Echtgenote Hermen, en Jan Vlieger;v, m;opvolger van 246;;Amsterdam;Haringpakkerij;1862 - 1869;papier- en boekhandel;183b
KVCS:246;Koster, Herman;m;waarschijnlijk de opvolger van 114;;Amsterdam;Haringpakkerij;1859 - 1862;papier- en boekhandel, handel in scheepsartikelen;183a
KVCS:123;Koumans, Pieter;m;;1730-1779;Leeuwarden;in de Peperstraat in de Jonge Ruyter;1735 - 1780;stadsdrukker en boek- en prentverkoper;59
KVCS:124;Landbouwkundig Gesticht, Protastants;;;;Montfoort?;;1852 - 1864;boek- en prentdrukkerij  ;86
KVCS:128;Lange jr, Jan de;m;;1822-1849;Deventer;;1822 - 1849;boek- en prentdrukker;60c
KVCS:127;Lange,  Weduwe J H  de;v;;;Deventer;;1822 - 1822;boek- en prentdrukker;60b
KVCS:125;Lange, Jan de;m;;?-1787;Deventer;Stadsdrukker aan den Br;1752 - 1787;boek- en prentdrukker;60
KVCS:126;Lange, Jan Hendrik;m;;1787-1822;Deventer;;1787 - 1822;boek- en prentdrukker;60a
KVCS:129;Lange, M D  de;m;;;Veendam;;na 1893  - ?;boekhandelaar en wederverkoper Gordinne;33a
KVCS:130;Lecuyer, Philippus;m;;;Uden/'s Bosch;;1772 - 1774;ambulante prentdrukker;61
KVCS:131;Lee, Jan van ;m;opvolger van149;;Haarlem;;1768 - 1784;boek- en prentdrukker en -verkoper;77a
KVCS:132;Lier, David 1809-1881 en Charles 1813-1885 van;m, m;;;Den Haag;;1840 - 1850;boek- en prentdrukker;62
KVCS:134;Lootsman  Casparus;m;opvolger van 133;;Amsterdam;;1668 - 1711;boek- en prentdrukker;63a
KVCS:133;Lootsman,  Weduwe Theunis Jacobsz;v;opvolger van Theunis Jacobsz Lootsman;;Amsterdam;;1650 - 1689;boek- en prentdrukker;63
KVCS:135;Lutkie, C C en Cranenburg, A;m, m;;;'s Hertogenbosch;Keizersstraat;1848 - 1881;boekdrukker, steendrukker, handel in kantoorartikelen;64
KVCS:136;Martin-Delahay, H A J ;m;;;Rijsel (F);;1819 - 1830;boek- en prentdrukker, boekbinder, boekhandelaar, prenthandelaar;65
KVCS:137;Masier, Pieter Jacobus;m;opvolger van173;1789-1845;Rotterdam;Prinsenstraat I 206;1827 - 1845;boek- en prentdrukker en verkoper;66
KVCS:138;Mathijsz, Paulus;m;;;Amsterdam;in ’t Musijckboek in de stoofsteeg;1640 - 1684;boek- en prentdrukker en verkoper;67
KVCS:224;Mathysz, Erven Paulus;v;opvolger van138;;Amsterdam;in ’t Musijckboek in de stoofsteeg;1686 - 1723;boekdrukker, boekverkoper;132
KVCS:139;Mensing, Elie Henri & Van Westreenen, Hubertus;m, m;;;Rotterdam;op het Steiger wijk G nopvolger van 142, later Hoogstraat wijk E nr. 371;1816 - 1849;drukkers en uitgevers van boeken en prenten;68
KVCS:234;Mijs, D;m;opvolger van 172;;Tiel;;1913 - c.1932;prentverkoper, uitgever,  handelaar in schoolartikelen;
KVCS:140;Minderman, Hermann & Copvolger van ;m, ?;;;Amsterdam;in de Bergstraat;1818 - 1845;boek- en prentdrukker en verkoper;69
KVCS:141;Moolen, Hermann van der;m;opvolger van51, alleen de prenten;;Geldern;;1857 - 1878;handelaar in o.a. prenten;70
KVCS:142;Mortier & Zoon, David du;m, m;;;Leiden;op de hoek van de Salomonsteeg;1787 - 1855;drukkers, boek- en prentverkopers;71
KVCS:143;Mulders, Maria Catharina;v;opvolger van 203;?-1843;Rotterdam;;1837 - 1843;boek- en prentdrukker en verkoper;114f
KVCS:145;Muller,  Diedrich Karl & Comp;;;;Arnhem;;1818 - 1842;steendrukker, boek-, prent- en papierhandelaar;73
KVCS:144;Muller, Ewout Cornelisz ;m;;;Hoorn & Amst;Hoorn (1589-1592), Amsterdam (1592-1616) Kerckstraat in de Liesveltsche bijbel;1589 - 1616;boek- en prentdrukker en verkoper;72
KVCS:226;Munster, Erve Hendrik van ; ;opvolger van146;;Amsterdam;Warmoesgracht 7,;1835 - ?;boekdrukker en verkoper;74
KVCS:225;Munster, Hendrik van ;m;;;Amsterdam;Achterburgwal bij de Gasthuismoolensteeg;1767 - 1810;boekdrukker en verkoper;74
KVCS:146;Munster, Hendrik van & Zoon (= Hendrik jr);m, m;opvolger van225;;Amsterdam;Warmoesgracht 7;1819 - 1835;boek- en prentdrukker en verkoper;74
KVCS:147;Muys, Nicolaas;m;;;Schiedam;op de Haven, over de Beurs;1705 - 1757;stadsdrukker, boek- en prentdrukker en verkoper;75
KVCS:148;Nationale Commissie voor Economische Uitbreiding;;;;Brussel;;c.1920 - na 1850;uitgever van boeken en prenten voor volksopvoeding;76
KVCS:149;Nieuwenhuyzen, Jan;m;;;Haarlem;;1743 - 1758;boek- en prentdrukker en -verkoper;77
KVCS:229;Noman & zoon (Dirk);m,m;opvolger van228;;s-Hertogenbosch;; - ;boekdrukkers en verkopers;
KVCS:228;Noman & zoon (Johannes);m, m;opvolger van227;;s-Hertogenbosch;; - ;boekdrukkers en verkopers;
KVCS:151;Noman, J & Zoon (Dirk);m, m;;;Zaltbommel;;1830 - 1845;boek- en prentdrukkers en -handelaren;78a
KVCS:150;Noman, Johannes;m;;;Zaltbommel;;1814 - 1830;boek- en prentdrukkers en -handelaren;78
KVCS:227;Noman, Theodorus Dirk;m;;1750-1834;s-Hertogenbosch;; - ;boekbinder, boekdrukker en -verkoper;
KVCS:152;Noorduyn, Jacobus;m;;1795-1873;Gorinchem;;1819 - 1841;drukker en handelaar in boeken en prenten, veilinghouder;79
KVCS:230;Noorduyn, Jacobus & zoon (Adriaan);m, m;opvolger van152;;Gorinchem;;1841 - 1859;drukker en verkoper in boeken en prenten, veilinghouder;79
KVCS:153;Noothoven van Goor, Dirk;m; ;1827-1895;Leiden;Breestraat;1850 - 1880;drukker, uitgever en boekhandelaar;80
KVCS:154;Numan, Hendrik;m;;1736-1790;Amsterdam;op de Angeliersgragt;1760 - 1788;houtsnijder, prentuitgever;81
KVCS:156;Oomkens Jzn, Jan;m;;1836-1872;Groningen;;1836 - 1851;boek- prent- en steendrukkerij, uitgeverij en boekhandel;82a
KVCS:155;Oomkens, Jan;m;;1779-1844);Groningen;;1802 - 1836;boek- prent- en steendrukkerij, uitgeverij en boekhandel, academiedrukker;82
KVCS:231;Parys, Cornelis;m;opvolger van 231;1777-1830;Antwerpen;Lombardenvest, later: Kammenstraat ;c.1800-1830 - ;prentdrukker, boek- en prentverkoper;83
KVCS:157;Phobel, Firma;;;;Brussel;Edouard Thibaultlaan 2, Etterbeek;1910 - 1970;boek- en prentdrukkerij en handel;84
KVCS:158;Preys, Boudewijn de (du);m;;;Amsterdam;op de Seedyck, later: op de Middel-dam in de Faem, ook: op de Vygendam ;1639 - 1655;boek- en prentdrukker en verkoper;85
KVCS:159;Putte 1, Isaak van der;m;opvolger van 46;;Amsterdam;;1723 - 1748;boek- en prentdrukker en verkoper;63c
KVCS:160;Putte 2 Abraham van der;m;opvolger van 159;;Amsterdam;;1748 - 1760;boek- en prentdrukker en verkoper;63d
KVCS:161;Putte 3 Hendrik van der;m;opvolger van 160;;Amsterdam;;1761 - 1765;boek- en prentdrukker en verkoper;63e
KVCS:162;Putte 4  Weduwe  H  van der ;v;opvolger van 161;;Amsterdam;;1766 - 1767;boek- en prentdrukker en verkoper;63f
KVCS:163;Putte 5 Erve  Weduwe  H  van der , ;;opvolger van 162;;Amsterdam;;1768 - 1794;boek- en prentdrukker en verkoper;63g
KVCS:165;Ratelband,  Weduwe  Jeronimus, en Johannes  Bouwer;v, m;opvolger van 164;;Amsterdam;;1768 - 1770;boek- en prentdrukkers en -verkopers;87b
KVCS:166;Ratelband, erven  (o.a. Johannes II) Weduwe  Jeronimus , en Johannes  Bouwer;;opvolger van 165;;Amsterdam;;1771 - 1793;boek- en prentdrukkers en -verkopers;87c
KVCS:164;Ratelband, Jeronimus, en Johannes Bouwer;m, m;;;Amsterdam;;1757 - 1767;boek- en prentdrukkers en -verkopers;87
KVCS:167;Ratinckx,  Weduwe  (=Isabella Collens) Dominique;v;;c.1775-1850;Antwerpen;Korte Nieuwstraat n 835;1831 - 1850;steendrukker, dozenmaakster, winkelier;88
KVCS:173;Rijke, J A  de;m;opvolger van179;;Rotterdam;Prinsenstraat;1826 - 1827;boek- en prentdrukker en verkoper;92
KVCS:175;Rijschooten, P van;m;;;Amsterdam;op ’t Water, regt over de Nieuwen Brug, later: Haarlemmerdijk;1682 - 1716;boek- en prentdrukker en verkoper;94
KVCS:169;Roode, de  Weduwe   H J de, en Jan de Roode (zoon);v, m;opvolger van 168;;Zaandam;;1792 - 1799;boek- en prentdrukkers en -verkopers;89a
KVCS:168;Roode, Hermanus Jukkers de;m;;;Zaandam;aan de Westzy in den Overtoom by den Dam;1753 - 1791;boek- en prent- en smoutdrukker en verkoper;89
KVCS:170;Roode, Jan Jukkers de;m;opvolger van 169;;Zaandam;;1799 - 1834;boek- en prentdrukker en verkoper;89b
KVCS:171;Roosing, Pieter ;m;;1794-1839;Rotterdam;Schiedamsche Dijk C 109;1826 - c.1839;tekenaar, graveur, boek- en prentdrukker en verkoper;90
KVCS:233;Roosing, Wed (=Catharina van der Horst) P ;m;opvolger van 171;?-1867;Rotterdam;op de Schotschendijk C 110;1839 - c.1854;tekenaar, graveur, boek- en prentdrukker en verkoper;90
KVCS:172;Ruyter en Meijer, Papierhandel de;;;;Amsterdam;Nieuwstraat;1873 - 1913;papierhandelaren, prentverkopers;91
KVCS:174;Rynders (Rijnders, Erven Hendrik;;;;Amsterdam;tweede Tuyn dwars straat;1781 - 1845;boek- en prentdrukker en verkoper;93c
KVCS:235;Rynders (Rijnders, Reinders), Hendrik;m;;;Amsterdam;tweede Tuyn dwars straat;1704 - c.1761;boekhandelaar en boekdrukker ;93a
KVCS:236;Rynders (Rijnders, Reinders), Wed Hendrik;v;O236;;Amsterdam;tweede Tuyn dwars straat;c.1761 - 1781;boekdrukker en -verkoper;93 b
KVCS:176;Sande en Co, W G  van der;m, m;na beëindiging 7, Copvolger van = Abraham de Haan te Beau Vallon (St. Gervais);?-1811;Amsterdam en Namen (St. Servais);Warmoesstraat 33a;1806 - 1811;prentdrukker en -verkoper;95
KVCS:177;Schaaf, J J ;m;mogelijk opvolger van 9  ;;Kevelaar;;1893 - na 1900;prentdrukker en -verkoper;96
KVCS:178;Schaffrath, N  en G  N ;m, m;;;Gelder;;1780 - 1820;boek- en prentdrukker en -verkoper;97
KVCS:179;Scheffers, Johannes;m;;?-1824;Rotterdam;op de Stinksloot (1786-1788), by de Princestraat, Penningsbrug (1806-1811) ;1781 - 1825;boekhandelaar, boek- prent- en lieddrukker;98
KVCS:181;Schierbeek jr, Rudolf Jacob;m, m;opvolger van 180;1813-1889;Groningen;;1835 - 1882;boekhandelaar, boek- en prentuitgever;99
KVCS:180;Schierbeek sr, Roelof Jacob;m, m;;1778-1844;Groningen;;1798 - 1835;boekhandelaar en -uitgever;100
KVCS:182;Schillemans & Van Belkum;m, m;opvolger van 222 voor prenten en kindertijdaschriften;Cornelis Schillemans (1840-1903), Piet van Belkum (1853-1941);Zutphen;;1892 - 1915;boek- en prent- en tijdschriftuitgevers;101
KVCS:183;Schuitemaker, Jan;m;opvolger van 31 ;1821-1892;Purmerend;;1842 - 1857;boek- en prent- en krantdrukker en verkoper;102
KVCS:184;Segboer, Arie Willem ;m;opvolger van 84 voor de prentreeks;;'s Gravenhage;Oranjeplein 67;1901 - c.1940;boek- en prentuitgever, kioskexploitant;103
KVCS:186;Seydel,  Weduwe  Johannes;v;opvolger van185;;Leeuwarden;;1813 - ?;boek- en prentdrukker en verkoper;104a
